feature,importance
num__rolling_mean_7d_net,11.825140073767734
cat__shift_start_22:50,0.0
cat__shift_start_22:39,0.0
cat__shift_start_22:38,-0.0
cat__shift_start_22:33,0.0
cat__shift_start_22:31,0.0
cat__shift_start_22:27,-0.0
cat__shift_start_22:24,-0.0
cat__shift_start_22:16,-0.0
cat__shift_start_21:49,-0.0
cat__shift_start_22:10,0.0
cat__shift_start_22:09,-0.0
cat__shift_start_22:08,0.0
cat__shift_start_22:07,-0.0
cat__shift_start_22:06,-0.0
cat__shift_start_21:59,-0.0
cat__shift_start_21:54,-0.0
cat__shift_start_22:15,0.0
cat__shift_start_23:42,0.0
cat__shift_start_23:41,0.0
cat__shift_start_23:39,0.0
cat__shift_start_23:33,0.0
cat__shift_start_23:30,0.0
cat__shift_start_23:26,-0.0
cat__shift_start_23:23,-0.0
cat__shift_start_23:18,0.0
cat__shift_start_22:52,0.0
cat__shift_start_23:13,0.0
cat__shift_start_23:04,0.0
cat__shift_start_23:03,0.0
cat__shift_start_23:02,0.0
cat__shift_start_23:00,0.0
cat__shift_start_22:58,-0.0
cat__shift_start_22:56,-0.0
cat__shift_start_22:55,0.0
cat__shift_start_23:16,-0.0
cat__shift_start_20:45,-0.0
cat__shift_start_20:33,0.0
cat__shift_start_20:29,0.0
cat__shift_start_20:26,-0.0
cat__shift_start_20:21,-0.0
cat__shift_start_20:16,0.0
cat__shift_start_20:11,-0.0
cat__shift_start_20:05,-0.0
cat__shift_start_21:47,0.0
cat__shift_start_19:51,-0.0
cat__shift_start_19:50,0.0
cat__shift_start_19:49,-0.0
cat__shift_start_19:48,-0.0
cat__shift_start_19:44,0.0
cat__shift_start_19:42,0.0
cat__shift_start_19:36,-0.0
cat__shift_start_19:28,0.0
cat__shift_start_19:54,-0.0
cat__shift_start_23:43,0.0
cat__shift_start_21:43,0.0
cat__shift_start_21:32,-0.0
cat__shift_start_21:27,0.0
cat__shift_start_21:25,0.0
cat__shift_start_21:21,-0.0
cat__shift_start_21:18,-0.0
cat__shift_start_21:17,-0.0
cat__shift_start_20:47,-0.0
cat__shift_start_21:14,0.0
cat__shift_start_21:12,-0.0
cat__shift_start_21:11,-0.0
cat__shift_start_21:02,-0.0
cat__shift_start_20:53,0.0
cat__shift_start_20:52,-0.0
cat__shift_start_20:51,0.0
cat__shift_start_20:50,-0.0
cat__shift_start_21:16,-0.0
cat__shift_end_03:23,-0.0
cat__shift_end_03:18,0.0
